,PMID,FAU,TI,AB,IS,DP,AUID,AID,LA,PL,OT,CI,RN,MH
199,33813129,"['Bavelaar, Herjan', 'Justesen, Ulrik Stenz', 'Morris, Trefor E', 'Anderson, Bethan', 'Copsey-Mawer, Sarah', 'Stubhaug, Tore Taksdal', 'Kahlmeter, Gunnar', 'Matuschek, Erika']",Development of a EUCAST disk diffusion method for the susceptibility testing of rapidly growing anaerobic bacteria using Fastidious Anaerobe Agar (FAA) - Development study using Bacteroides species.,"OBJECTIVES: Antimicrobial resistance among anaerobic bacteria is increasing, leading to a growing demand for inexpensive and reliable susceptibility testing methods. The aim of this study was to determine the suitability of Fastidious Anaerobe Agar (FAA) as a medium for disk diffusion of rapidly growing anaerobic bacteria. METHODS: Reproducibility of zone diameters and quality of growth were tested using six quality control (QC) strains. We compared four anaerobic incubation systems, two incubation temperatures (35 and 37 degrees C) and FAA from four manufacturers. The effect of incubation for 16-20 hours instead of 24 hours was tested on 10 randomly selected Bacteroides fragilis-group isolates. The final method was tested on 170 clinical B. fragilis-group isolates- and compared to agar dilution MICs. RESULTS: After 24 hours incubation all QC strains demonstrated confluent growth. The different anaerobic incubation systems were equal regarding quality of growth and zone diameters. Incubation at 35 degrees C resulted in slightly larger zones (1-2 mm) compared to 37 degrees C. Except for Acumedia FAA, the different manufacturers showed good agreement in zone diameters. All B. fragilis-group isolates displayed confluent growth after 16-20 hours. Metronidazole inhibition zones correlated well with the reference MICs. There was an area of poorer separation for meropenem and piperacillin-tazobactam between 19-27 and 14-23 mm respectively. Prolonged incubation (40-44 h) of clindamycin resulted in better separation and the area of overlap was reduced from 13 to 8 mm compared with 16-20 hours incubation. CONCLUSION: FAA is a suitable medium for disk diffusion of this collection of rapidly growing anaerobic bacteria.",1469-0691 (Electronic) 1198-743X (Linking),2021 Apr 1,,"['S1198-743X(21)00163-4 [pii]', '10.1016/j.cmi.2021.03.028 [doi]']",['eng'],England,,"['Copyright (c) 2021 European Society of Clinical Microbiology and Infectious', 'Diseases. Published by Elsevier Ltd. All rights reserved.']",,
200,33812722,"['Ulger Toprak, Nurver', 'Akgul, Oncu', 'Bilgin, Huseyin', 'Ozaydin, Ayse Nilufer', 'Altinkanat Gelmez, Gulsen', 'Sayin, Elvan', 'Sili, Uluhan', 'Korten, Volkan', 'Soyletir, Guner']",Frequency and associated factors for carbapenem-non-susceptible Bacteroides fragilis group bacteria colonization in hospitalized patients: Case control study in a university hospital in Turkey.,"PURPUSE: The carbapenem-resistant Bacteroides fragilis group (CR-BFG) bacteria have been reported in several countries recently with increasing global attention. The high incidence of CR-BFG isolated from our hospitalized patients has become an important problem. Therefore, we aimed to determine the frequency and associated factors for intestinal colonization by carbapenem-non-susceptible BFG (CNS-BFG) among adult patients hospitalized at intensive care units, neurosurgery and internal medicine wards in our hospital. METHODS: Rectal swabs (n=1200), collected from 766 patients between February 2014 and March 2015, were inoculated onto kanamycin-vancomycin-leaked blood agar containing 0.125mg/L meropenem. The isolates were identified by MALDI-TOF MS. Susceptibility testing was performed by agar dilution method. The carbapenemase gene (cfiA) was detected by PCR. Logistic regression analysis was used to evaluate the associated factors for intestinal colonization by CNS-BFG. RESULTS: A total 180 non-duplicate BFG isolates were obtained from 164 patients. Ten different species, including Parabacteroides distasonis (n=46, 25.6%), and Bacteroides fragilis (n=30; 16.6%), were identified. Twenty-five percent of the isolates were non-susceptible to meropenem (MIC >2mg/L). The highest prevalence of meropenem resistant strains (MIC >8mg/L) was detected among B. fragilis (n=12), followed by Parabacteroides spp. (n=4). All but one B. fragilis strains were cfiA gene positive. Hospital admission, increasing Charlson score, use of antibiotics; including carbapenems in past three months, colonization with other accompanying carbapenem-resistant Gram negative bacteria (Enterobacteriaceae, Acinetobacter baumannii and Pseudomonas aeruginosa), and having undergone surgical operations were significantly associated with RCS- BFG colonization. CONCLUSIONS: The high carriage rate of CNS-BFG in hospitalized patients may lead to worse clinical outcomes, such as serious infections and mortality, and deserves attention.",1998-3646 (Electronic) 0255-0857 (Linking),2021 Mar 31,,"['S0255-0857(21)00048-7 [pii]', '10.1016/j.ijmmb.2021.03.018 [doi]']",['eng'],United States,"['Bacteroides fragilis group', 'Carbapenem resistance', 'Metallo-beta-lactamase. cfiA gene', 'Risk factors']","['Copyright (c) 2021 Indian Association of Medical Microbiologists. Published by', 'Elsevier B.V. All rights reserved.']",,
201,33732447,"['Maruyama, Hugo', 'Masago, Ayako', 'Nambu, Takayuki', 'Mashimo, Chiho', 'Takahashi, Kazuya', 'Okinaga, Toshinori']","Inter-site and interpersonal diversity of salivary and tongue microbiomes, and the effect of oral care tablets.","Background: Oral microbiota has been linked to both health and diseases. Specifically, tongue-coating microbiota has been implicated in aspiration pneumonia and halitosis. Approaches altering one's oral microbiota have the potential to improve oral health and prevent diseases. Methods: Here, we designed a study that allows simultaneous monitoring of the salivary and tongue microbiomes during an intervention on the oral microbiota. We applied this study design to evaluate the effect of single-day use of oral care tablets on the oral microbiome of 10 healthy individuals. Tablets with or without actinidin, a protease that reduces biofilm formation in vitro, were tested. Results: Alpha diversity of the tongue microbiome was significantly lower than that of the salivary microbiome, using both the number of observed amplicon sequence variants (254 +/- 53 in saliva and 175 +/- 37 in tongue; P = 8.9e-7, Kruskal-Wallis test) and Shannon index (6.0 +/- 0.4 in saliva and 5.4 +/- 0.3 in tongue; P = 2.0e-7, Kruskal-Wallis test). Fusobacterium periodonticum, Saccharibacteria sp. 352, Streptococcus oralis subsp . dentisani, Prevotella melaninogenica, Granulicatella adiacens, Campylobacter concisus, and Haemophilus parainfluenzae were the core operational taxonomic units (OTUs) common to both sites. The salivary and tongue microbiomes of one individual tended to be more similar to one another than to those of other individuals. The tablets did not affect the alpha or beta diversity of the oral microbiome, nor the abundance of specific bacterial species. Conclusions: While the salivary and tongue microbiomes differed significantly in terms of bacterial composition, they showed inter- rather than intra-individual diversity. A one-day usage of oral care tablets did not alter the salivary or tongue microbiomes of healthy adults. Whether the use of oral tablets for a longer period on healthy people or people with greater tongue coating accumulation shifts their oral microbiome needs to be investigated.",2046-1402 (Electronic) 2046-1402 (Linking),2020,['ORCID: https://orcid.org/0000-0002-2190-7109'],['10.12688/f1000research.27502.2 [doi]'],['eng'],England,"['QIIME 2', 'actinidin', 'amplicon sequence variants (ASVs)', 'oral care tablet', 'oral microbiome']",['Copyright: (c) 2021 Maruyama H et al.'],,
202,33872790,"['Bhat, Kishore G', 'Ingalagi, Preeti', 'Patil, Suvarna', 'Patil, Sanjivini', 'Pattar, Geeta']",Antimicrobial susceptibility pattern of oral gram negative anaerobes from Indian subjects.,"OBJECTIVES: There is paucity of information on the antimicrobial susceptibility pattern of oral anaerobic bacteria. In this study, an attempt has been made to evaluate the antimicrobial susceptibility/resistance trend of oral Gram negative bacteria from Indian subjects. METHODS: Minimum inhibitory concentrations (MIC) of 304 isolates against twelve different antibiotics were determined using gradient diffusion MIC strips. The organisms were isolated and identified based on phenotypic characteristics and included Porphyromonas gingivalis, Prevotella species, Tannerella forsythia, Fusobacterium nucleatum, Aggregatibacter actinomycetemcoitans, Eickenella corrodens and Capnocytophaga species. For each antimicrobial agent, MIC50 and MIC90 were calculated and expressed. RESULTS: Resistance to azithromycin, clindamycin, and amoxicillin was observed in most of the anaerobic bacterial species studied. High degree of susceptibility was observed to amoxillin-clavulanic acid, doxycycline and moxifloxacin. A single strain of P. melaninogenica was resistant to moxifloxacin. The susceptibility pattern varied with cephalosporins among species. Ceftriaxone showed highest and cefazolin least efficacy among cephalosporins. All anaerobic bacteria tested were susceptible to metronidazole. Strains of T. forsythia were more resistant to several antibiotics than other anaerobic bacteria. All three species of capnophilic bacteria displayed high degree of resistance to metronidazole and significant resistance to amoxicillin, azithromycin, clindamycin, cefazolin and cefuroxime. CONCLUSIONS: Amoxicillin-clavulanic acid, doxycycline, moxifloxacin and metronidazole appeared to be the most effective drugs against gram negative anaerobic bacteria. However, the MIC50 and MIC90 values against metronidazole were on the higher side of the normal indicating a potential for developing resistance.",1095-8274 (Electronic) 1075-9964 (Linking),2021 Apr 16,,"['S1075-9964(21)00050-0 [pii]', '10.1016/j.anaerobe.2021.102367 [doi]']",['eng'],England,"['Antimicrobial Susceptibility', 'CLSI', 'Gram negative anaerobes', 'MIC', 'gradient diffusion testing']",['Copyright (c) 2021 Elsevier Ltd. All rights reserved.'],,
203,33780104,"['Zheng, Sai-Wei', 'Xu, Pan', 'Cai, Li-Ting', 'Tan, Zheng-Wu', 'Guo, Yi-Ting', 'Zhu, Rui-Xin', 'He, Yuan']",The presence of P. melaninogenica within tissue and preliminary study on its role in the pathogenesis of oral lichen planus.,"OBJECTIVE: Oral lichen planus (OLP) is a chronic inflammatory disease that occurs in the oral mucosa with characteristic white striations lesions, recurrent erosions and pains. The etiology and pathogenesis of OLP are still unclear. MATERIALS AND METHODS: We analyzed the bacterial community structure of buccal mucosa in patients with OLP and normal controls by high-throughput sequencing. Fluorescence in situ hybridization (FISH) was uesd to detect Prevotella melaninogenica (P. melaninogenica) in 13 OLP samples and 10 controls. The amounts of P. melaninogenica in OLP buccal mucosa and the expression of inflammatory cytokines in co-culture of mouse-derived macrophages with P. melaninogenica were detected by RT-qPCR. RESULTS: The P. melaninogenica was more abundant in OLP than in healthy controls and the differences were significant at the level of the phylum, family, genus and species (P<0.05). FISH showed that P. melaninogenica can invade the epithelium and even the lamina propria of OLP, while no invasion was found in the normal mucosa. P. melaninogenica can adhere to and invade macrophages and then activate the transcription of IL-1beta, IL-6 and TNF-alpha in NF-kappaB signaling pathway. CONCLUSION: P. melaninogenica may be involved in the pathogenic process of OLP, and its specific mechanism deserves further study.",1601-0825 (Electronic) 1354-523X (Linking),2021 Mar 29,['ORCID: https://orcid.org/0000-0001-9809-9472'],['10.1111/odi.13862 [doi]'],['eng'],Denmark,"['Prevotella melaninogenica', 'NF-kappaB pathway', 'Oral lichen planus', 'invasion', 'transcription']",['This article is protected by copyright. All rights reserved.'],,
204,33718263,"['Zhang, Yu', 'Zhu, Ce', 'Cao, Guizhi', 'Zhan, Jingyu', 'Feng, Xiping', 'Chen, Xi']",Dynamic Alterations of Oral Microbiota Related to Halitosis in Preschool Children.,"Objective: This longitudinal study was aimed to evaluate the dynamic shift in oral microbiota during the process of halitosis progression among preschool children. Methods: The oral examinations, questionnaires and tongue coating specimens were collected at the baseline and 12-month follow-up. All children were oral healthy at the enrollment. At the 12-month follow-up, children who developed halitosis were included to the halitosis group (n = 10). While children who matched the age, gender, kindergarten and without halitosis were included to the control group (n = 10). 16S rRNA gene sequencing was used to reveal the shift of the tongue coating microbiome in these children during the 12- month period with the Human Oral Microbiome Database. Results: A remarkable shift in relative abundance of specific bacteria was observed prior to halitosis development. The principal coordinates and alpha diversity analyses revealed different shifting patterns of halitosis and the healthy participants' microbiome structures and bacterial diversity over the 12-month follow-up. Both groups showed variable microbiota community structures before the onset of halitosis. Halitosis-enriched species Prevotella melaninogenica, Actinomyces sp._HMT_180 and Saccharibacteria TM7_G-1_bacterium_HMT_352 were finally selected as biomarkers in the halitosis-onset prediction model after screening, with a prediction accuracy of 91.7%. Conclusions: The microbiome composition and relative abundance of the tongue coatings in the halitosis and control groups remarkably differed, even prior to the onset of the clinical manifestations of halitosis. The halitosis prediction model constructed on the basis of tongue coating microbiome biomarkers indicated the microbial shifts before the halitosis onset. Therefore, this can be considered for the timely detection and intervention of halitosis in children.",2235-2988 (Electronic) 2235-2988 (Linking),2021,,['10.3389/fcimb.2021.599467 [doi]'],['eng'],Switzerland,"['16S rRNA gene', 'halitosis', 'halitosis-onset prediction model', 'longitudinal study', 'oral microbiome shift', 'preschool children']","['Copyright (c) 2021 Zhang, Zhu, Cao, Zhan, Feng and Chen.']",,
205,33604753,"['Shen, Zhenglei', 'Gu, Xuezhong', 'Cao, Honghua', 'Mao, Wenwen', 'Yang, Linlin', 'He, Min', 'Zhang, Rui', 'Zhou, Yeying', 'Liu, Kunmei', 'Wang, Lilan', 'Liu, Lianqing', 'Yu, Jingxing', 'Yin, Liefen']",Characterization of microbiota in acute leukemia patients following successful remission induction chemotherapy without antimicrobial prophylaxis.,"PURPOSE: In the present study, we characterized the microbiomes of acute leukemia (AL) patients who achieved complete remission following remission induction chemotherapy (RIC) as outpatients, but who did not receive antimicrobials to treat or prevent febrile neutropenia. METHODS: Saliva and stool samples from 9 patients with acute myeloid leukemia, 11 patients with acute lymphoblastic leukemia, and 5 healthy controls were subjected to 16S ribosomal RNA sequencing at baseline and at 3 months following RIC. Only patients who achieved remission at 3 months post-treatment were included. We excluded anyone who used antimicrobials within 2 months of enrollment or at any time during the study period. RESULTS: At baseline, the relative abundances of species of Prevotella maculosa (P=0.001), Megasphaera micronuciformis (P=0.014), Roseburia inulinivorans (P=0.021), and Bacteroides uniformis (P=0.004) in saliva and Prevotella copri (P=0.002) in the stools of controls were significantly higher than in AL patients. Following RIC, the relative abundances of Eubacterium sp. oral clone DO008 (P=0.012), Leptotrichia sp. oral clone IK040 (P=0.002), Oribacterium sp. oral taxon 108 (P=0.029), Megasphaera micronuciformis (P=0.016), TM7 phylum sp. oral clone DR034 (P<0.001), Roseburia inulinivorans (P=0.034), Actinomyces odontolyticus (P=0.014), Leptotrichia buccalis (P=0.005), and Prevotella melaninogenica (P=0.046) in saliva and Lactobacillus fermentum (P=0.046), Coprococcus catus (P=0.050), butyrate-producing bacterium SS3/4 (P=0.013), and Bacteroides coprocola (P=0.027) in the stools of AL patients were significantly greater than in controls. CONCLUSION: Following RIC, several taxa are changed in stool and salvia samples of AL patients. Our results warrant future large-scale multicenter studies to examine whether the microbiota might have an effect on clinical outcomes of AL patients.",1618-1905 (Electronic) 1139-6709 (Linking),2021 May,,"['10.1007/s10123-021-00163-3 [doi]', '10.1007/s10123-021-00163-3 [pii]']",['eng'],Switzerland,"['Febrile neutropenia', 'Induction chemotherapy', 'Leukemia', 'Microbiome', 'Microbiota', 'Saliva']",,,
206,33536555,"['Wang, Qian', 'Chen, Xuelan', 'Hu, Huan', 'Wei, Xiaoyuan', 'Wang, Xiaofan', 'Peng, Zehui', 'Ma, Rui', 'Zhao, Qian', 'Zhao, Jiangchao', 'Liu, Jianguo', 'Deng, Feilong']",Structural changes in the oral microbiome of the adolescent patients with moderate or severe dental fluorosis.,"Dental fluorosis is a very prevalent endemic disease. Although oral microbiome has been reported to correlate with different oral diseases, there appears to be an absence of research recognizing any relationship between the severity of dental fluorosis and the oral microbiome. To this end, we investigated the changes in oral microbial community structure and identified bacterial species associated with moderate and severe dental fluorosis. Salivary samples of 42 individuals, assigned into Healthy (N = 9), Mild (N = 14) and Moderate/Severe (M&S, N = 19), were investigated using the V4 region of 16S rRNA gene. The oral microbial community structure based on Bray Curtis and Weighted Unifrac were significantly changed in the M&S group compared with both of Healthy and Mild. As the predominant phyla, Firmicutes and Bacteroidetes showed variation in the relative abundance among groups. The Firmicutes/Bacteroidetes (F/B) ratio was significantly higher in the M&S group. LEfSe analysis was used to identify differentially represented taxa at the species level. Several genera such as Streptococcus mitis, Gemella parahaemolysans, Lactococcus lactis, and Fusobacterium nucleatum, were significantly more abundant in patients with moderate/severe dental fluorosis, while Prevotella melaninogenica and Schaalia odontolytica were enriched in the Healthy group. In conclusion, our study indicates oral microbiome shift in patients with moderate/severe dental fluorosis. We identified several differentially represented bacterial species enriched in moderate and severe fluorosis. Findings from this study suggests that the roles of these bacteria in oral health and related diseases warrant more consideration in patients with moderate and severe fluorosis.",2045-2322 (Electronic) 2045-2322 (Linking),2021 Feb 3,,"['10.1038/s41598-021-82709-z [doi]', '10.1038/s41598-021-82709-z [pii]']",['eng'],England,,,,
207,33447816,"['Vandeplassche, Eva', 'Sass, Andrea', 'Ostyn, Lisa', 'Burmolle, Mette', 'Kragh, Kasper Norskov', 'Bjarnsholt, Thomas', 'Coenye, Tom', 'Crabbe, Aurelie']",Antibiotic susceptibility of cystic fibrosis lung microbiome members in a multispecies biofilm.,"The lungs of cystic fibrosis (CF) patients are often chronically colonized by multiple microbial species that can form biofilms, including the major CF pathogen Pseudomonas aeruginosa. Herewith, lower microbial diversity in CF airways is typically associated with worse health outcomes. In an attempt to treat CF lung infections patients are frequently exposed to antibiotics, which may affect microbial diversity. This study aimed at understanding if common antibiotics that target P. aeruginosa influence microbial diversity. To this end, a microaerophilic multispecies biofilm model of frequently co-isolated members of the CF lung microbiome (Pseudomonas aeruginosa, Staphylococcus aureus, Streptococcus anginosus, Achromobacter xylosoxidans, Rothia mucilaginosa, and Gemella haemolysans) was exposed to antipseudomonal antibiotics. We found that antibiotics that affected several dominant species (i.e. ceftazidime, tobramycin) resulted in higher species evenness compared to colistin, which is only active against P. aeruginosa. Furthermore, susceptibility of individual species in the multispecies biofilm following antibiotic treatment was compared to that of the respective single-species biofilms, showing no differences. Adding three anaerobic species (Prevotella melaninogenica, Veillonella parvula, and Fusobacterium nucleatum) to the multispecies biofilm did not influence antibiotic susceptibility. In conclusion, our study demonstrates antibiotic-dependent effects on microbial community diversity of multispecies biofilms comprised of CF microbiome members.",2590-2075 (Electronic) 2590-2075 (Linking),2020 Dec,,"['10.1016/j.bioflm.2020.100031 [doi]', 'S2590-2075(20)30013-7 [pii]']",['eng'],Netherlands,"['Antibiotics', 'Cystic fibrosis', 'Microbial diversity', 'Microbiota', 'Multispecies biofilms']",['(c) 2020 The Authors.'],,
208,33420219,"['Kawar, Nadia', 'Park, Seon Gyeong', 'Schwartz, Joel L', 'Callahan, Nicholas', 'Obrez, Ales', 'Yang, Bin', 'Chen, Zhengjia', 'Adami, Guy R']",Salivary microbiome with gastroesophageal reflux disease and treatment.,"The effect of oral microbial composition on periodontal health and on systemic health has been, and is being established. The oral microbiome, in turn, can be altered by local and systemic diseases and conditions. Gastroesophageal reflux disease (GERD), has been associated with increased acidity in the oral cavity resulting in dental erosion, and controversially a reduced risk of periodontal disease. We hypothesized that presence of GERD was linked to a modified microbial profile in untreated GERD patients and that the use of proton pump inhibitor (PPI) drugs: potent disruptors of gut microbiome, in GERD patients might result in a salivary microbiome that is further distinct. Untreated GERD patients showed multiple differences in salivary microbiome as compared to healthy controls. Taxa found at lower levels related to the presence of GERD not treated by PPI included: Prevotella melaninogenica, Prevotella pallens, Leptotrichia, and Solobacterium moorei and thirteen others. In contrast, GERD patients chronically using PPI showed minimal differences in salivary taxa compared to healthy controls not using PPI.",2045-2322 (Electronic) 2045-2322 (Linking),2021 Jan 8,,"['10.1038/s41598-020-80170-y [doi]', '10.1038/s41598-020-80170-y [pii]']",['eng'],England,,,,
209,33330141,"['Kageyama, Shinya', 'Nagao, Yuka', 'Ma, Jiale', 'Asakawa, Mikari', 'Yoshida, Ryoji', 'Takeshita, Toru', 'Hirosue, Akiyuki', 'Yamashita, Yoshihisa', 'Nakayama, Hideki']",Compositional Shift of Oral Microbiota Following Surgical Resection of Tongue Cancer.,"Salivary microbiota is considered a source of microorganisms for the respiratory and digestive tracts, and a trigger for diseases in these distant organs. Meanwhile, the microbiota on the tongue surface is thought to be a major source of salivary microbiota. Therefore, surgical resection of the tongue for definitive treatment of oral cancer could drastically change the salivary bacterial balance and virulence. Here, we investigated the shift of the salivary microbiota following surgical resection in patients with tongue cancer. The stimulated saliva samples were collected from 25 tongue cancer patients pre- and post-resection of the tongue, and bacterial density and composition was determined using quantitative PCR analysis and 16S ribosomal RNA (rRNA) gene sequencing, respectively. Although no significant difference in the total bacterial density in saliva pre- and post-surgery was observed, the bacterial composition significantly differed according to the analysis of similarity. Among predominant operational taxonomic units (OTUs) with >/=1% of relative abundance, the proportions of OTUs corresponding to Streptococcus salivarius, Prevotella melaninogenica, and Prevotella histicola were significantly decreased following the tongue resection. On the other hand, the proportions of OTUs corresponding to Lautropia mirabilis, Neisseria flava, Streptococcus sanguinis, and Fusobacterium nucleatum, known to be inhabitants of dental plaque, were significantly increased. These results suggest that surgical resection of the tongue causes a compositional shift of the salivary microbiota, characterized by an increase in bacterial species derived from dental plaque, including periodontal pathogens. These results suggest the necessity of more careful and frequent postoperative oral care after surgical resection of tongue cancer.",2235-2988 (Electronic) 2235-2988 (Linking),2020,,['10.3389/fcimb.2020.600884 [doi]'],['eng'],Switzerland,"['16S ribosomal RNA', 'glossectomy', 'microbiome', 'next-generation sequencing', 'oral surgery', 'quantitative real-time PCR', 'saliva', 'tongue neoplasms']","['Copyright (c) 2020 Kageyama, Nagao, Ma, Asakawa, Yoshida, Takeshita, Hirosue,', 'Yamashita and Nakayama.']",,
210,33248211,"['Qudeimat, Muawia A', 'Alyahya, Asma', 'Karched, Maribasappa', 'Behbehani, Jawad', 'Salako, Nathanael O']",Dental plaque microbiota profiles of children with caries-free and caries-active dentition.,"OBJECTIVE: Microbiota comparisons between healthy and diseased dental tissues have accentuated the importance of cultivating and identifying bacterial species that play a role in the initiation and progression of dental caries. The objective of this study was to evaluate the bacterial community composition in caries-active and caries-free children. METHODS: Supragingival plaque samples were collected from 64 caries-active and 64 caries-free Middle Eastern children. The hypervariable V3-V4 of the bacterial 16S rRNA gene was sequenced with Human Oral Microbe Identification using Next Generation Sequencing. Microbial community structure and composition analyses were performed by processing operational taxonomic units. Bioinformatic analyses, including analysis of similarity, alpha and beta diversities, and principal coordinate analysis, were carried out. RESULTS: Diversity indices did not find differences between the caries-active and caries-free groups (p > 0.05). Similarity analysis demonstrated that the microbiota composition did not differ between the two groups. Comparative analysis at the species level revealed a significantly higher relative abundance of Leptotrichia shahii, Prevotella melaninogenica, Veillonella dispar, Leptotrichia HOT 498, and Streptococcus mutans in caries-active children (p < 0.05). Corynebacterium matruchotii, Lautropia mirabilis, Neisseria elongata, and Corynebacterium durum were relatively more abundant in the caries-free group (p < 0.05). Species belonging to the Leptotrichia, Prevotella, and Veillonella genera were significantly predominant in the caries-active subjects. CONCLUSION: In view of the lack of a clear association between Corynebacterium spp. and dental caries status in the literature, the predominance of these species in caries-free children warrants further research to understand their possible role in a health-associated microbial community. CLINICAL SIGNIFICANCE: Understanding the relationship between specific bacteria present in dental biofilms and health and disease is essential for preventing and combating dental caries. Using advanced next generation sequencing techniques, the present study demonstrated the complexity of the caries microbiome and identified species/genera whose virulence or protective properties should be further explored.",1879-176X (Electronic) 0300-5712 (Linking),2021 Jan,,"['S0300-5712(20)30287-6 [pii]', '10.1016/j.jdent.2020.103539 [doi]']",['eng'],England,"['*Bacteria', '*Caries', '*Children', '*HOMINGS', '*Microbiomes', '*Plaque']",['Copyright (c) 2020 Elsevier Ltd. All rights reserved.'],"['0 (RNA, Ribosomal, 16S)', 'Corynebacterium durum', 'Corynebacterium matruchotii', 'Lautropia mirabilis', 'Leptotrichia shahii', 'Veillonella dispar']","['Burkholderiaceae', 'Child', 'Corynebacterium', '*Dental Caries', 'Dental Caries Susceptibility', '*Dental Plaque', 'Dentition', 'Humans', 'Leptotrichia', '*Microbiota/genetics', 'RNA, Ribosomal, 16S/genetics', 'Veillonella']"
211,33906113,"['Hsue, W', 'Sharpe, A N', 'Darling, S L', 'Visser, L C', 'Choi, E', 'Stern, J A']",Aorto-left atrial fistula secondary to infective aortic endocarditis and endarteritis in a cat with valvular aortic stenosis.,"A cat previously diagnosed with valvular aortic stenosis developed acute respiratory distress. A new continuous heart murmur was noted on physical exam. Echocardiographic examination revealed vegetative lesions on the aortic valve and continuously shunting blood flow from the aorta into the left atrium. Despite initial treatment for left-sided congestive heart failure, the cat died suddenly. In addition to confirming aortic valve endocarditis and an acquired aorto-left atrial shunt, pathological examination identified vegetative lesions on the luminal surface of the ascending aorta. Although antemortem aerobic blood culture, 16s bacterial ribosomal DNA PCR, and Bartonella PCR failed to identify causative organisms, Escherichia coli was identified on postmortem tissue culture of the aortic lesion. This represented a unique case of primary valvular aortic stenosis with secondary infective aortic endocarditis, infective aortic endarteritis, and aorto-left atrial fistula in a cat. It highlighted potential adverse outcomes of aortic stenosis that are more commonly recognized in humans and dogs.",1875-0834 (Electronic) 1760-2734 (Linking),2021 Mar 29,,"['S1760-2734(21)00032-1 [pii]', '10.1016/j.jvc.2021.03.007 [doi]']",['eng'],Netherlands,"['Aorto-atrial', 'Aorto-cavitary', 'Continuous murmur', 'Escherichia coli', 'Feline']",['Published by Elsevier B.V.'],,
212,33895462,"['Zurita, Antonio', 'Benkacimi, Linda', 'El Karkouri, Khalid', 'Cutillas, Cristina', 'Parola, Philippe', 'Laroche, Maureen']",New records of bacteria in different species of fleas from France and Spain.,"In this study, we assessed the presence of vector-borne microorganisms in different species of fleas collected from different hosts in diverse areas of South-Western Europe by molecular methods. A total of 319 fleas belonging to eight different species was tested for the presence of eight microorganisms. Wolbachia spp. endosymbionts were detected in Ctenocephalides felis, Pulex irritans, Archaeopsylla erinacei and Ctenophthalmus baeticus boisseauorum specimens. Rickettsia felis, an emerging pathogen, was detected in C. felis, A. erinacei and Ct. b. boisseauorum. Rickettsia typhi, the agent of murine typhus was detected for the first time in A. erinacei and Mycobacterium spp. were detected for the first time in fleas (C. felis, P. irritans and A. erinacei). Lastly, five different species of Bartonella were detected in fleas' DNA in this study, including a possible new bacterium belonging to this genus. With this study, we updated the knowledge of the flea-borne bacteria present in the South-West of Europe reinforcing the idea about the necessity to expand and increase the current knowledge on flea-borne pathogens.",1878-1667 (Electronic) 0147-9571 (Linking),2021 Apr 6,,"['S0147-9571(21)00040-0 [pii]', '10.1016/j.cimid.2021.101648 [doi]']",['eng'],England,"['Bartonella spp.', 'Flea-borne diseases', 'Rickettsia felis', 'Rickettsia typhi', 'Siphonaptera']",['Copyright (c) 2021 Elsevier Ltd. All rights reserved.'],,
